College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Visvesvaraya National Institute of Technology - [VNIT],"Nagpur, Maharashtra",B.Tech Electrical and Electronic...,"₹ 1,50,950",B.Tech Mechanical Engineering,"₹ 1,50,950",https://collegedunia.com/university/25733-visvesvaraya-national-institute-of-technology-vnit-nagpur/courses-fees?course_id=2051
Institute of Chemical Technology - [ICT],"Mumbai, Maharashtra",B.Tech Plastic and Polymer Engin...,"₹ 88,350",B.Tech Food Engineering,"₹ 88,350",https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai/courses-fees?course_id=2115
College of Engineering - [COEP],"Pune, Maharashtra",B.Tech Electronics & Telecommuni...,"₹ 1,56,464",B.Tech Robotics and Automation -...,"₹ 1,56,464",https://collegedunia.com/college/28215-college-of-engineering-coep-pune/courses-fees?course_id=2057
Indian Institute of Information Technology - [IIIT],"Pune, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,08,750",B.Tech Electronics & Communicati...,"₹ 3,08,750",https://collegedunia.com/university/57979-indian-institute-of-information-technology-iiit-pune/courses-fees?course_id=2049
Sardar Patel Institute of Technology - [SPIT],"Mumbai, Maharashtra",B.Tech Computer Science Engineering,"₹ 2,10,000",B.Tech Computer Engineering,"₹ 2,10,000",https://collegedunia.com/college/14948-sardar-patel-institute-of-technology-spit-mumbai/courses-fees?course_id=2049
Indian Institute of Information Technology - [IIIT],"Nagpur, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 2,46,300",B.Tech Computer Science Engineering,"₹ 2,46,300",https://collegedunia.com/university/57974-indian-institute-of-information-technology-iiit-nagpur/courses-fees?course_id=15865
Dwarkadas J Sanghvi College of Engineering - [DJSCE],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 2,29,625",BE Artificial Intelligence and D...,"₹ 2,29,625",https://collegedunia.com/college/13419-dwarkadas-j-sanghvi-college-of-engineering-djsce-mumbai/courses-fees?course_id=1954
Vishwakarma Institute of Technology,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 2,06,000",B.Tech Information Technology,"₹ 2,06,000",https://collegedunia.com/college/24615-vishwakarma-institute-of-technology-pune/courses-fees?course_id=2047
Pune Institute of Computer Technology- [PICT],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,20,500",BE Artificial Intelligence and D...,"₹ 1,20,500",https://collegedunia.com/college/14624-pune-institute-of-computer-technology-pict-pune/courses-fees?course_id=1954
Walchand College of Engineering - [WCE],"Sangli, Maharashtra",B.Tech Computer Science Engineering,"₹ 86,104",B.Tech Information Technology,"₹ 86,104",https://collegedunia.com/college/15513-walchand-college-of-engineering-wce-sangli/courses-fees?course_id=2049
MKSSS's Cummins College of Engineering for Women,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 1,75,436",B.Tech Information Technology,"₹ 1,75,436",https://collegedunia.com/college/13284-mkssss-cummins-college-of-engineering-for-women-pune/courses-fees?course_id=2047
Walchand Institute of Technology - [WIT],"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,32,473",B.Tech Information Technology,"₹ 1,32,473",https://collegedunia.com/college/15514-walchand-institute-of-technology-wit-solapur/courses-fees?course_id=2049
"GH Raisoni College of Engineering - [GHRCE], Nagpur","Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,33,500",B.Tech Artificial Intelligence a...,"₹ 1,33,500",https://collegedunia.com/college/13492-gh-raisoni-college-of-engineering-ghrce-nagpur-nagpur/courses-fees?course_id=2049
Thadomal Shahani Engineering College - [TSEC],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 8,04,000",BE (Information Technology),"₹ 8,04,000",https://collegedunia.com/college/15452-thadomal-shahani-engineering-college-tsec-mumbai/courses-fees?course_id=1954
Vivekanand Education Society Institute of Technology - [VESIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 6,04,000",BE (Information Technology),"₹ 6,04,000",https://collegedunia.com/college/15528-vivekanand-education-society-institute-of-technology-vesit-mumbai/courses-fees?course_id=1954
D. Y. Patil College of Engineering,"Pune, Maharashtra",BE Computer Engineering,N/A,BE (Information Technology),N/A,https://collegedunia.com/college/13376-d-y-patil-college-of-engineering-pune/courses-fees?course_id=1954
Army Institute of Technology - [AIT],"Pune, Maharashtra",BE Computer Engineering,"₹ 2,36,485",BE (Information Technology),"₹ 2,36,485",https://collegedunia.com/college/12868-army-institute-of-technology-ait-pune/courses-fees?course_id=1954
Pimpri Chinchwad College of Engineering - [PCCOE],"Pune, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 1,77,096",B.Tech Computer Engineering,"₹ 1,77,096",https://collegedunia.com/college/14564-pimpri-chinchwad-college-of-engineering-pccoe-pune/courses-fees?course_id=15865
AISSMS College of Engineering - [AISSMSCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,63,000",BE Electronics & Telecom Enginee...,"₹ 1,63,000",https://collegedunia.com/college/12779-aissms-college-of-engineering-aissmscoe-pune/courses-fees?course_id=1954
Vishwakarma Institute of Information Technology - [VIIT],"Pune, Maharashtra",B.Tech Information Technology,"₹ 8,24,000",B.Tech Computer Engineering,"₹ 8,24,000",https://collegedunia.com/college/28914-vishwakarma-institute-of-information-technology-viit-pune/courses-fees?course_id=5122
KJ Somaiya Institute of Engineering and Information Technology - [KJSIEIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 7,60,000",BE (Information Technology),"₹ 7,60,000",https://collegedunia.com/college/13917-kj-somaiya-institute-of-engineering-and-information-technology-kjsieit-mumbai/courses-fees?course_id=1954
ISB&M College of Engineering,"Pune, Maharashtra",BE Computer Engineering,"₹ 3,08,000",BE Electronics & Telecom Enginee...,"₹ 3,08,000",https://collegedunia.com/college/58913-isbandm-college-of-engineering-pune/courses-fees?course_id=1954
Pune Vidhyarthi Griha's College of Engineering and Technology - [PVGCOET],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,23,701",BE (Information Technology),"₹ 1,23,701",https://collegedunia.com/college/14625-pune-vidhyarthi-grihas-college-of-engineering-and-technology-pvgcoet-pune/courses-fees?course_id=1954
Vidyalankar Institute of Technology - [VIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 7,04,000",BE (Information Technology),"₹ 7,04,000",https://collegedunia.com/college/45849-vidyalankar-institute-of-technology-vit-mumbai/courses-fees?course_id=1954
Thakur College of Engineering and Technology - [TCET],"Mumbai, Maharashtra",BE (Information Technology),"₹ 6,18,000",BE Computer Engineering,"₹ 6,18,000",https://collegedunia.com/college/54796-thakur-college-of-engineering-and-technology-tcet-mumbai/courses-fees?course_id=5108
AISSMS Institute of Information Technology,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 1,40,851",B.Tech Information Technology,"₹ 1,40,851",https://collegedunia.com/college/12780-aissms-institute-of-information-technology-pune/courses-fees?course_id=2047
JSPM'S Rajarshi Shahu College of Engineering - [RSCOE] Tathawade,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 1,34,000",B.Tech Information Technology,"₹ 1,34,000",https://collegedunia.com/college/14714-jspms-rajarshi-shahu-college-of-engineering-rscoe-tathawade-pune/courses-fees?course_id=2047
National Institute of Electronics and Information Technology - [NIELIT],"Aurangabad, Maharashtra",B.Tech Electronics Engineering,"₹ 1,15,000",,,https://collegedunia.com/college/14442-national-institute-of-electronics-and-information-technology-nielit-aurangabad/courses-fees?course_id=2060
MIT Academy of Engineering - [MITAOE],"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 7,64,000",B.Tech Information Technology,"₹ 7,64,000",https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune/courses-fees?course_id=2047
Dr. D. Y. Patil Institute of Technology - [DYPIT] Pimpri,"Pune, Maharashtra",BE Computer Engineering,"₹ 5,08,000",BE Artificial Intelligence and D...,"₹ 5,08,000",https://collegedunia.com/college/28603-dr-d-y-patil-institute-of-technology-dypit-pimpri-pune/courses-fees?course_id=1954
Marathwada Mitra Mandal's College of Engineering - [MMCOE] Karvenagar,"Pune, Maharashtra",BE Computer Engineering,"₹ 4,84,000",BE (Information Technology),"₹ 4,84,000",https://collegedunia.com/college/14283-marathwada-mitra-mandals-college-of-engineering-mmcoe-karvenagar-pune/courses-fees?course_id=1954
KIT's College of Engineering,"Kolhapur, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 97,750",B.Tech Computer Science and Busi...,"₹ 97,750",https://collegedunia.com/college/28553-kits-college-of-engineering-kolhapur/courses-fees?course_id=15865
Progressive Education Society's Modern College of Engineering - [MCOE],"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 3,60,000",B.Tech Information Technology,"₹ 3,60,000",https://collegedunia.com/college/14558-progressive-education-societys-modern-college-of-engineering-mcoe-pune/courses-fees?course_id=2047
K.K. Wagh Institute of Engineering Education & Research - [KKWIEER],"Nashik, Maharashtra",B.Tech Computer Engineering,"₹ 6,52,000",B.Tech Information Technology,"₹ 6,52,000",https://collegedunia.com/college/57504-kk-wagh-institute-of-engineering-education-and-research-kkwieer-nashik/courses-fees?course_id=2047
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,"Nashik, Maharashtra",BE Computer Engineering,"₹ 66,500",BE (Information Technology),"₹ 66,500",https://collegedunia.com/college/60343-pune-vidyarthi-grihas-college-of-engineering-and-ss-dhamankar-institute-of-management-nashik/courses-fees?course_id=1954
SIES Graduate School of Technology - [SIES-GST],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 5,12,000",BE (Information Technology),"₹ 5,12,000",https://collegedunia.com/college/14825-sies-graduate-school-of-technology-siesgst-navi-mumbai/courses-fees?course_id=1954
Yeshwantrao Chavan College of Engineering - [YCCE],"Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 7,00,000",B.Tech Artificial Intelligence a...,"₹ 7,00,000",https://collegedunia.com/college/15508-yeshwantrao-chavan-college-of-engineering-ycce-nagpur/courses-fees?course_id=2049
Bharati Vidyapeeth's College of Engineering - [BVCOE] Lavale,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,19,066",BE Electronics & Telecom Enginee...,"₹ 1,19,066",https://collegedunia.com/college/28444-bharati-vidyapeeths-college-of-engineering-bvcoe-lavale-pune/courses-fees?course_id=1954
Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,"Pune, Maharashtra",BE Biotechnology,"₹ 5,20,000",BE Computer Engineering,"₹ 5,20,000",https://collegedunia.com/college/15143-sinhgad-college-of-engineering-scoe-vadgaon-ambegaon-pune/courses-fees?course_id=1951
Don Bosco Institute of Technology - [DBIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,48,234",BE (Information Technology),"₹ 1,48,234",https://collegedunia.com/college/13358-don-bosco-institute-of-technology-dbit-mumbai/courses-fees?course_id=1954
Shri Sant Gajanan Maharaj College of Engineering - [SSGMCE],"Shegaon, Maharashtra",BE Computer Science and Engineering,"₹ 1,36,150",BE (Information Technology),"₹ 1,36,150",https://collegedunia.com/college/15260-shri-sant-gajanan-maharaj-college-of-engineering-ssgmce-shegaon/courses-fees?course_id=1956
St. Francis Institute of Technology - [SFIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 6,12,000",BE (Information Technology),"₹ 6,12,000",https://collegedunia.com/college/15309-st-francis-institute-of-technology-sfit-mumbai/courses-fees?course_id=1954
PILLAI COLLEGE OF ENGINEERING,"Mumbai, Maharashtra",B.Tech Computer Engineering,"₹ 1,71,500",B.Tech Information Technology,"₹ 1,71,500",https://collegedunia.com/college/14562-pillai-college-of-engineering-mumbai/courses-fees?course_id=2047
Modern Education Society's Wadia College of Engineering - [MESWCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,34,280",BE Electronics & Telecom Enginee...,"₹ 1,34,280",https://collegedunia.com/college/14347-modern-education-societys-wadia-college-of-engineering-meswcoe-pune/courses-fees?course_id=1954
G H Raisoni College of Engineering and Management - [GHRCEM],"Pune, Maharashtra",B.Tech Computer Science Engineering,"₹ 5,34,000",B.Tech Cyber Security,"₹ 5,34,000",https://collegedunia.com/college/13493-g-h-raisoni-college-of-engineering-and-management-ghrcem-pune/courses-fees?course_id=2049
JSPM Narhe Technical Campus - [JSPM NTC] Narhe,"Pune, Maharashtra",BE Computer Engineering,"₹ 3,60,000",BE Artificial Intelligence and D...,,https://collegedunia.com/college/18154-jspm-narhe-technical-campus-jspm-ntc-narhe-pune/courses-fees?course_id=1954
Pimpri Chinchwad College of Engineering and Research - [PCCOER] Ravet,"Pune, Maharashtra",BE (Information Technology),"₹ 1,76,000",BE Computer Engineering,"₹ 1,76,000",https://collegedunia.com/college/58794-pimpri-chinchwad-college-of-engineering-and-research-pccoer-ravet-pune/courses-fees?course_id=5108
"K.E.Society's Rajarambapu Institute of Technology, Rajaramnagar","Sangli, Maharashtra",B.Tech Computer Engineering,"₹ 6,28,000",B.Tech Artificial Intelligence a...,"₹ 6,28,000",https://collegedunia.com/college/13909-kesocietys-rajarambapu-institute-of-technology-rajaramnagar-sangli/courses-fees?course_id=2047
Rajiv Gandhi Institute of Technology - [RGIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,31,000",BE (Information Technology),"₹ 1,31,000",https://collegedunia.com/college/14734-rajiv-gandhi-institute-of-technology-rgit-mumbai/courses-fees?course_id=1954
Sanjivani College of Engineering (An Autonomous Institute),"Ahmednagar, Maharashtra",B.Tech Computer Engineering,"₹ 1,61,475",B.Tech Information Technology,"₹ 1,61,475",https://collegedunia.com/college/14923-sanjivani-college-of-engineering-an-autonomous-institute-ahmednagar/courses-fees?course_id=2047
Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,16,811",BE (Information Technology),"₹ 1,16,811",https://collegedunia.com/college/45844-vidya-pratishthans-kamalnayan-bajaj-institute-of-engineering-and-technology-vpkbiet-baramati-pune/courses-fees?course_id=1954
Cummins College Of Engineering For Women,"Nagpur, Maharashtra",BE Computer Engineering,"₹ 1,25,500",BE Electronics & Telecom Enginee...,"₹ 1,25,500",https://collegedunia.com/college/56827-cummins-college-of-engineering-for-women-nagpur/courses-fees?course_id=1954
Amrutvahini College of Engineering - [AVCOE],"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 1,35,745",BE (Information Technology),"₹ 1,35,745",https://collegedunia.com/college/12812-amrutvahini-college-of-engineering-avcoe-ahmednagar/courses-fees?course_id=1954
DKTE Society's Textile and Engineering Institute - [DKTE],"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 4,84,000",B.Tech Artificial Intelligence a...,"₹ 4,84,000",https://collegedunia.com/college/13293-dkte-societys-textile-and-engineering-institute-dkte-kolhapur/courses-fees?course_id=2049
Sinhgad Institute of Technology and Science -[SITS] Narhe,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,10,170",BE (Information Technology),"₹ 1,10,170",https://collegedunia.com/college/15145-sinhgad-institute-of-technology-and-science-sits-narhe-pune/courses-fees?course_id=1954
Indira College of Engineering & Management - [ICEM],"Pune, Maharashtra",BE Artificial Intelligence and D...,"₹ 1,40,368",BE Computer Engineering,"₹ 1,40,368",https://collegedunia.com/college/13797-indira-college-of-engineering-and-management-icem-pune/courses-fees?course_id=20216
